checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,Member ID,Book ID,Checkout Date
9263.0,1047.0,517.0,2024-10-21,2024-11-07,Sara,Rashad,,Heliopolis,Inactive,2024-06-25,Shadows on the Corniche,Hani Nagati,,,
9340.0,1072.0,513.0,2025-08-24,2025-09-01,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,,,
9231.0,1053.0,523.0,2024-02-04,2024-02-16,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Footsteps in the Dust,Laila Shokry,,,
9129.0,1032.0,513.0,2025-06-21,2025-06-29,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Circuits for Beginners,Galal Mounir,,,
9370.0,1079.0,511.0,2025-11-11,2025-12-03,Rana,Osman,8.0,Shubra,Active,2024-10-27,Winter in Alexandria,Farida Anwar,,,
9082.0,1010.0,528.0,2025-11-11,2025-11-18,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,The Glass Beehive,Mona Kholoussy,,,
9238.0,1057.0,513.0,2024-03-28,2024-04-08,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Circuits for Beginners,Galal Mounir,,,
9012.0,1010.0,501.0,2025-02-17,,Nour,Nabil,6.0,Maadi ,Active,2024-05-15,The Silver Kite,Amina Darwish,,,
9127.0,1024.0,506.0,2025-06-13,,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Paper Boat Club,Aya Hafez,,,
9020.0,1016.0,506.0,2024-04-15,2024-05-04,Dina,Rashad,8.0,Maadi,Active,2023-04-24,The Paper Boat Club,Aya Hafez,,,
9208.0,1044.0,525.0,2024-07-10,2024-08-01,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,Storms and Sailboats,Mahmoud Rafei,,,
9319.0,1065.0,515.0,2025-02-10,2025-02-21,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Songs of the Oasis,Hoda Bakry,,,
9097.0,1018.0,501.0,2025-10-05,2025-10-14,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Silver Kite,Amina Darwish,,,
9137.0,1041.0,519.0,2025-07-27,2025-08-05,Nada,Rashad,7.0,Nasr City,Active,2024-04-02,Kites Over Cairo,Jasmine Wahdan,,,
9157.0,1032.0,525.0,2024-03-04,2024-04-03,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Storms and Sailboats,Mahmoud Rafei,,,
9383.0,1070.0,501.0,2024-07-11,2024-07-31,Ahmed,Zaki,9.0,Zamalek,Active,2025-07-22,The Silver Kite,Amina Darwish,,,
9131.0,1034.0,505.0,2025-12-16,2025-12-25,Aya,Wahba,9.0,Nasr City,Active,2025-01-22,Letters to the Nile,Aya Hafez,,,
9113.0,1027.0,507.0,2024-06-26,2024-07-08,Mostafa,Fouad,9.0,Nasr City,Active,2023-09-25,Fossils and Fireflies,Dalia Serry,,,
9144.0,1024.0,501.0,2025-11-07,2025-11-25,Youssef,Hegazy,8.0,Nasr City,inactive,2024-01-04,The Silver Kite,Amina Darwish,,,
9005.0,1008.0,513.0,2025-04-20,2025-04-29,Ziad,Saleh,8.0,Maadi,active,2025-10-28,Circuits for Beginners,Galal Mounir,,,
9272.0,1044.0,518.0,2025-01-24,2025-02-04,Sherif,Saleh,7.0,Heliopolis,active,2024-02-19,The Ninth Lighthouse,Hani Nagati,,,
9283.0,1072.0,513.0,2025-09-17,2025-09-25,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,,,
9030.0,1018.0,507.0,2025-03-09,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Fossils and Fireflies,Dalia Serry,,,
9291.0,1065.0,526.0,2024-03-25,2024-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,The Clockwork Orchard,Mahmoud Rafei,,,
9369.0,1076.0,501.0,2025-06-05,,Dina,Wahba,7.0,Shubra,Active,2025-12-13,The Silver Kite,Amina Darwish,,,
9225.0,1059.0,516.0,2025-08-06,2025-08-22,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,The Beekeeper's Almanac,Hoda Bakry,,,
9256.0,1059.0,521.0,2025-07-09,,Lina,Halim,7.0,Heliopolis,Active,2024-01-06,A Garden of Equations,Karim Elwy,,,
9234.0,1053.0,525.0,2024-02-13,2024-03-06,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Storms and Sailboats,Mahmoud Rafei,,,
9152.0,1030.0,525.0,2025-01-03,,Reem,Osman,,Nasr City,Active,2025-04-01,Storms and Sailboats,Mahmoud Rafei,,,
9063.0,1018.0,515.0,2024-10-22,,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,Songs of the Oasis,Hoda Bakry,,,
9161.0,1040.0,519.0,2025-10-11,2025-11-01,Dina,Adel,9.0,Nasr City,Active,2025-12-26,Kites Over Cairo,Jasmine Wahdan,,,
9206.0,1050.0,519.0,2024-03-17,,Fares,Adel,6.0,Heliopolis,inactive,2025-09-10,Kites Over Cairo,Jasmine Wahdan,,,
9031.0,1020.0,530.0,2025-12-28,2026-01-05,Rana,Fouad,6.0,Maadi,Active,2025-12-04,The Sandstone Key,Sara Tantawy,,,
9189.0,1032.0,507.0,2025-12-08,2025-12-16,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Fossils and Fireflies,Dalia Serry,,,
9288.0,1065.0,519.0,2025-03-20,2025-03-31,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Kites Over Cairo,Jasmine Wahdan,,,
9236.0,1052.0,507.0,2024-09-02,2024-09-29,Retaj,Adel,7.0,Heliopolis,Active,2025-06-07,Fossils and Fireflies,Dalia Serry,,,
