checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,Member ID,Book ID,Checkout Date
9263.0,1047.0,517.0,2024-10-21,2024-11-07,sara,rashad,8.0,heliopolis,inactive,2024-06-25,shadows on the corniche,hani nagati,1052.0,516.5,2025-07-07
9340.0,1072.0,513.0,2025-08-24,2025-09-01,seif,zaki,9.0,zamalek,active,2025-10-21,circuits for beginners,galal mounir,1052.0,516.5,2025-07-07
9231.0,1053.0,523.0,2024-02-04,2024-02-16,adam,shafik,9.0,heliopolis,active,2024-01-03,footsteps in the dust,laila shokry,1052.0,516.5,2025-07-07
9129.0,1032.0,513.0,2025-06-21,2025-06-29,nada,zaki,7.0,nasr city,active,2025-10-19,circuits for beginners,galal mounir,1052.0,516.5,2025-07-07
9370.0,1079.0,511.0,2025-11-11,2025-12-03,rana,osman,8.0,shubra,active,2024-10-27,winter in alexandria,farida anwar,1052.0,516.5,2025-07-07
9082.0,1010.0,528.0,2025-11-11,2025-11-18,nour,nabil,6.0,maadi,active,2024-05-15,the glass beehive,mona kholoussy,1052.0,516.5,2025-07-07
9238.0,1057.0,513.0,2024-03-28,2024-04-08,ahmed,fahmy,8.0,heliopolis,active,2024-01-12,circuits for beginners,galal mounir,1052.0,516.5,2025-07-07
9012.0,1010.0,501.0,2025-02-17,2025-01-11,nour,nabil,6.0,maadi,active,2024-05-15,the silver kite,amina darwish,1052.0,516.5,2025-07-07
9127.0,1024.0,506.0,2025-06-13,2025-01-11,youssef,hegazy,8.0,nasr city,inactive,2024-01-04,the paper boat club,aya hafez,1052.0,516.5,2025-07-07
9020.0,1016.0,506.0,2024-04-15,2024-05-04,dina,rashad,8.0,maadi,active,2023-04-24,the paper boat club,aya hafez,1052.0,516.5,2025-07-07
9208.0,1044.0,525.0,2024-07-10,2024-08-01,sherif,saleh,7.0,heliopolis,active,2024-02-19,storms and sailboats,mahmoud rafei,1052.0,516.5,2025-07-07
9319.0,1065.0,515.0,2025-02-10,2025-02-21,adam,fahmy,6.0,zamalek,active,2025-07-12,songs of the oasis,hoda bakry,1052.0,516.5,2025-07-07
9097.0,1018.0,501.0,2025-10-05,2025-10-14,ahmed,shafik,9.0,maadi,active,2023-01-28,the silver kite,amina darwish,1052.0,516.5,2025-07-07
9137.0,1041.0,519.0,2025-07-27,2025-08-05,nada,rashad,7.0,nasr city,active,2024-04-02,kites over cairo,jasmine wahdan,1052.0,516.5,2025-07-07
9157.0,1032.0,525.0,2024-03-04,2024-04-03,nada,zaki,7.0,nasr city,active,2025-10-19,storms and sailboats,mahmoud rafei,1052.0,516.5,2025-07-07
9383.0,1070.0,501.0,2024-07-11,2024-07-31,ahmed,zaki,9.0,zamalek,active,2025-07-22,the silver kite,amina darwish,1052.0,516.5,2025-07-07
9131.0,1034.0,505.0,2025-12-16,2025-12-25,aya,wahba,9.0,nasr city,active,2025-01-22,letters to the nile,aya hafez,1052.0,516.5,2025-07-07
9113.0,1027.0,507.0,2024-06-26,2024-07-08,mostafa,fouad,9.0,nasr city,active,2023-09-25,fossils and fireflies,dalia serry,1052.0,516.5,2025-07-07
9144.0,1024.0,501.0,2025-11-07,2025-11-25,youssef,hegazy,8.0,nasr city,inactive,2024-01-04,the silver kite,amina darwish,1052.0,516.5,2025-07-07
9005.0,1008.0,513.0,2025-04-20,2025-04-29,ziad,saleh,8.0,maadi,active,2025-10-28,circuits for beginners,galal mounir,1052.0,516.5,2025-07-07
9272.0,1044.0,518.0,2025-01-24,2025-02-04,sherif,saleh,7.0,heliopolis,active,2024-02-19,the ninth lighthouse,hani nagati,1052.0,516.5,2025-07-07
